TAXON	F1M.1	F1M.2	F1M.3	F1T1.1	F1T1.2	F1T1.3	F1T2.1	F1T2.2	F1T2.3	F2M.1	F2M.2	F2M.3	F2T1.1	F2T1.2	F2T1.3	F2T2.1	F2T2.2	F2T2.3	F3M.1	F3M.2	F3M.3	F3T1.1	F3T1.2	F3T1.3	F3T2.1	F3T2.2	F3T2.3	F4M.1	F4M.2	F4M.3	F4T1.1	F4T1.2	F4T1.3	F4T2.1	F4T2.2	F4T2.3	F5T1.1
Acetohalobium	0.0	0.0	0.0	0.0	0.0	0.0	6.453694740238787e-05	0.000510986203372509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slackia	0.0005082592121982211	0.0011117287381878821	0.0	0.0001558846453624318	0.001229256299938537	0.0	0.0	0.0	0.0	0.0	0.0	0.00029850746268656717	0.0	0.0	0.0	0.0	0.0	0.0	6.53851183470642e-05	0.0006313131313131313	0.0009242754340793555	0.0	0.0	0.0	0.0	0.0	0.0	0.001160345202697803	0.0006090133982947625	0.0	0.008880697050938342	0.0007109004739336493	0.0	0.0	0.0	0.0	0.0
Megamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02786056757807426	0.09595375722543349	0.1265671641791055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raoultella	0.0	0.0	0.07705965909090919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacter	0.004447268106734435	0.003335186214563646	0.0	0.0	0.0	0.0	0.00012907389480477574	0.0	0.0	0.0	0.0	0.001791044776119403	0.0	0.0	0.0	0.0013580158673432926	0.0	0.00351288056206089	0.000326925591735321	0.0	3.3009836931405556e-05	0.00010165700925078785	0.0	0.0	0.0	0.0	0.0	0.00014504315033722533	0.0006090133982947625	0.00032562683165092806	0.0	0.006635071090047391	0.009445843828715364	0.0	0.000651748859439496	0.0	0.0
Phascolarctobacterium	0.009783989834815758	0.0016675931072818232	0.0	0.0	0.0	0.0	6.453694740238787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033003300330033004	0.0	0.0	0.0	0.0	0.0	6.601967386281111e-05	0.011690556063840571	0.0015178345560333923	0.013375673595073094	0.0	0.0	0.0	0.0009427804771919649	0.00243605359317905	0.0	0.0	0.00023696682464454977	0.0	0.0	0.0	0.0	0.00041476565740356696
Hydrogenobaculum	0.0	0.0	0.0	0.0010911925175370227	0.001229256299938537	0.007318335263534005	0.000580832526621491	0.002043944813490036	0.0024108003857280617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004137360364087711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavonifractor	0.0035578144853875486	0.005002779321845468	0.013849431818181811	0.0038971161340607932	0.004917025199754148	0.003425079466771788	0.009422394320748631	0.006642820643842615	0.01060752169720347	0.003757937022158873	0.001849710982658959	0.0011940298507462687	0.010917264262014342	0.013860013860013868	0.0036303630363036304	0.0035022514473590153	0.0011092623405435386	0.00312256049960968	0.004838498757682751	0.0018939393939393936	0.003036904997689318	0.005286164481040963	0.0	0.006351039260969981	0.004493005207801486	0.0035678889990089185	0.00372362432767894	0.012836318804844453	0.007003654080389765	0.0006512536633018561	0.007959115281501344	0.005213270142180093	0.003148614609571788	0.0	0.00043449923962633063	0.0032327586206896556	0.0037328909166321027
Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010165700925078785	0.0	0.0	0.0	0.0	0.0	0.00036260787584306336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1056877361380575e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
