TAXON	F1M.1	F1M.2	F1T1.1	F1T1.3	F1T2.1	F1T2.2	F1T2.3	F2M.1	F2M.2	F2M.3	F2T1.1	F2T1.2	F2T1.3	F2T2.1	F2T2.2	F3M.1	F3M.2	F3T1.1	F3T1.2	F3T1.3	F3T2.2	F3T2.3	F4M.2	F4M.3	F4T1.1	F4T1.2	F4T1.3	F4T2.1	F4T2.3	F5T2.1
PHAGE_Entero_phi92	0.00044331600370773385	0.0	0.0	0.0	0.0	0.0011668611435239206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024743288383026105	0.0	0.0004158868787689748	0.001148105625717566	0.0	0.0	0.0	0.0	0.0
PHAGE_Salmon_SE1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001326025459688826	0.0	0.0	0.0	0.0007097232079489	0.0	0.0	0.0
PHAGE_Provid_Redjac	4.030145488252126e-05	0.0	0.0	0.0	0.0005243838489774515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Orgyia_pseudotsugata_MNPV	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004592422502870264	0.0	0.0	0.0	0.0	0.0
PHAGE_Pseudo_CHA_P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017522340984755565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Mesorh_phagevB_MloP_Lo5R7ANS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002079434393844874	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Mycoba_Brujita	0.0	0.0	0.0	0.001098297638660077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001148105625717566	0.0	0.0	0.0	0.0	0.0
PHAGE_Strept_pyogenes_315_4	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0011668611435239206	0.0	0.0	0.0	0.000122684333210649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002296211251435132	0.0	0.0007097232079489	0.0	0.0	0.0009363295880149813
PHAGE_Staphy_phiPVL_CN125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	0.00014582573824279985	0.0	0.0
PHAGE_Strept_pyogenes_315_6	0.00012090436464756378	0.0	0.0	0.001098297638660077	0.005243838489774515	0.003500583430571762	0.0015128593040847202	0.00048115477145148355	0.0	0.000122684333210649	5.27273206612006e-05	0.0	0.0	0.0005044136191677175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012371644191513053	0.0	0.0	0.001148105625717566	0.0	0.0	0.0	0.0	0.0
PHAGE_Strept_pyogenes_315_1	0.0	0.0	0.0012658227848101266	0.0	0.0005243838489774515	0.0011668611435239206	0.0015128593040847202	0.0	0.0	0.0	0.0	0.0	0.0	0.0007566204287515763	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	7.291286912139993e-05	0.0	0.0
PHAGE_Strept_pyogenes_315_2	0.0	0.0	0.0	0.0	0.0	0.0011668611435239206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007077140835102619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Liston_phiHSIC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016038492381716118	0.0	0.0	0.0	0.0	9.613535858488752e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Acanth_turfacea_Chlorella_virus_1	0.0	0.0	0.0	0.0	0.0	0.003500583430571762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025220680958385876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Synech_S_SSM5	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Synech_S_SSM7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003711493257453916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Mycoba_Quink	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.84016973125884e-05	0.0	0.0	0.0	0.0014194464158978	7.291286912139993e-05	0.0	0.0
PHAGE_Escher_Lw1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016038492381716118	0.0	0.0	0.0	0.0	0.0	0.00025220680958385876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
